# status,# Bibi pulled all files from your repo. No need to edit this column.,"# directions: First, read through existing descriptions and edit for accuracy. Then, fill out this column with a description of each file. Include information about what the file contains and why it's relevant to your data package workflow. Use full sentences (capital first letter and period at end). Try to avoid using commas (use semi colors or reword if possible). Spell out all abbreviations and acryonmns (e.g., ""Fourier-transform ion cyclotron resonance (FTICR)"" not ""FTICR"").",# Bibi filled out based on ESS-DIVE standards. No need to edit this column.,"# directions: Write start date in YYYY-MM-DD format. If not applicable, write ""-9999""","# directions: Write end date in YYYY-MM-DD format. If not applicable, write ""-9999""","# directions: For each file… 
If the file is NOT a csv or tsv, write “N/A”; 
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0077.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0078.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0079.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0080.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0081.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0082.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0083.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0084.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0085.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0086.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0087.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0088.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0089.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0090.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0091.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0092.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0093.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0094.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0095.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0096.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0097.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0098.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0099.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0100.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0101.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0103.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0104.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0105.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0106.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0107.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0108.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0109.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0110.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0111.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0112.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0113.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0114.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0115.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0116.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0117.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0118.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0119.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0120.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0121.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0122.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0123.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0124.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0125.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0126.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0127.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0128.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0129.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0130.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0131.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0132.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0133.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0134.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0135.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0136.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0137.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0138.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0139.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0140.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0141.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0142.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0143.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0144.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0145.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0146.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0147.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0148.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0149.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0150.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0151.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0152.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0153.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0154.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0155.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0156.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0157.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0158.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0159.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0160.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0163.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0164.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0165.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0166.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0167.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0177.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0178.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0179.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0183.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0184.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0187.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0188.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0189.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0190.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0191.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0192.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0193.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0194.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0195.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0196.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0197.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0198.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0199.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0200.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0201.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0202.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0203.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0204.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0205.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0206.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
